facility_name,responsible_emitter,state,industry,erc_fy2024_25,baseline_t,covered_emissions_t,commodity_group
Byerwen Mine,BYERWEN COAL PTY LTD,QLD,Coal mining (060),0.902,248356,340920,coal
CAN01,South32 Cannington Proprietary Limited,QLD,Metal ore mining (080),0.902,106486,122968,base_metals
Capcoal Mine,ANGLO COAL (CAPCOAL MANAGEMENT) PTY LIMITED,QLD,Coal mining (060),0.902,2148463,1004050,coal
Carborough Downs Coal Mine,FITZROY (CQ) PTY LTD,QLD,Coal mining (060),0.902,530894,793653,coal
Carmichael Coal Mine,Adani Mining Pty Ltd,QLD,Coal mining (060),0.902,1021505,741002,coal
Carosue Dam Operations,NORTHERN STAR (CAROSUE DAM) PTY LTD,WA,Metal ore mining (080),0.902,100000,104670,gold
Caval Ridge Mine,BM Alliance Coal Operations Pty Limited,QLD,Coal mining (060),0.902,283285,343254,coal
CEM NSW Berrima Maldon,Boral Limited,NSW,"Cement, lime, plaster and concrete product manufacturing (203)",0.902,944588,860111,other
Centurion Coal Mine,Centurion Coal Mining Pty Ltd,QLD,Coal mining (060),0.902,160736,591219,coal
Chandala Processing Plant,Tronox Management Pty Ltd,WA,Basic chemical manufacturing (181),0.902,193612,214468,mineral_sands
Christmas Creek Mine,CHICHESTER METALS PTY LTD,WA,Metal ore mining (080),0.902,352267,372827,iron_ore
Clermont Coal Operations,Clermont Coal Operations Pty Limited,QLD,Coal mining (060),0.902,187630,145229,coal
Cloudbreak Mine,CHICHESTER METALS PTY LTD,WA,Metal ore mining (080),0.902,247491,332001,iron_ore
Cockburn Operations,ADBRI LIMITED,WA,"Cement, lime, plaster and concrete product manufacturing (203)",0.902,503740,524450,other
Condabri Talinga Orana,ORIGIN ENERGY UPSTREAM OPERATOR PTY LTD,QLD,Oil and gas extraction (070),0.902,381411,247011,lng
Cook Colliery,Constellation Mining Pty Ltd,QLD,Coal mining (060),0.902,106479,142267,coal
Coppabella Coal Mine,PEABODY ENERGY AUSTRALIA PCI (C&M MANAGEMENT) PTY LTD,QLD,Coal mining (060),0.902,156190,208542,coal
CSBP Kwinana Facility,CSBP Limited,WA,Fertiliser and pesticide manufacturing (183),0.902,692197,641327,other
CTC WA Facility,CENTURION TRANSPORT CO. PTY LTD,WA,Road freight transport (461),0.902,119456,118994,other
Curragh Mine,CORONADO AUSTRALIA HOLDINGS PTY LTD,QLD,Coal mining (060),0.902,535181,1093183,coal
Curtis Island GLNG Plant,GLNG OPERATIONS PTY LTD,QLD,Oil and gas extraction (070),0.902,1610744,1677171,lng
Daunia Coal Mine,WHITEHAVEN DAUNIA PTY LTD,QLD,Coal mining (060),0.902,277375,209969,coal
Dawson Mine,ANGLO COAL (DAWSON MANAGEMENT) PTY LTD,QLD,Coal mining (060),0.902,492550,574390,coal
DBNGP,DBNGP (WA) Transmission Pty Limited,WA,Pipeline and other transport (502),0.902,232997,211921,other
DEN01,Dendrobium Coal Pty Ltd,NSW,Coal mining (060),0.902,199253,477762,coal
Drake Mine,Drake Mine Management Pty Ltd,QLD,Coal mining (060),0.902,213653,235637,coal
Duketon South Operations,Regis Resources Limited,WA,Metal ore mining (080),0.902,167545,164526,gold
Eliwana Mine,FMG SOLOMON PTY LTD,WA,Metal ore mining (080),0.902,157344,178715,iron_ore
Ensham Coal Mine,ENSHAM RESOURCES PTY. LIMITED,QLD,Coal mining (060),0.902,292941,261158,coal
Fairview,Santos Limited,QLD,Oil and gas extraction (070),0.902,264027,162315,lng
Fimiston Operations,KALGOORLIE CONSOLIDATED GOLD MINES PTY LTD,WA,Metal ore mining (080),0.902,125151,271036,gold
Fisherman's Landing - Clinker & Cement,CEMENT AUSTRALIA (QUEENSLAND) PTY LIMITED,QLD,"Cement, lime, plaster and concrete product manufacturing (203)",0.902,1291368,1338072,other
Fisherman's Landing - Lime,CEMENT AUSTRALIA (QUEENSLAND) PTY LIMITED,QLD,"Cement, lime, plaster and concrete product manufacturing (203)",0.93449,173709,191984,other
FLNG,SHELL AUSTRALIA PTY LTD,WA,Oil and gas extraction (070),0.902,3675438,2253798,lng
Foxleigh Mine,FOXLEIGH MANAGEMENT PTY LTD,QLD,Coal mining (060),0.902,206135,266489,coal
Geelong Refinery,Viva Energy Refining Pty Ltd,VIC,Petroleum and coal product manufacturing (170),0.98,954727,1061314,other
GEM01,Groote Eylandt Mining Company Proprietary Limited,NT,Metal ore mining (080),0.902,100000,135299,manganese
Gippsland Basin facility,ESSO AUSTRALIA RESOURCES PTY LTD,VIC,Oil and gas extraction (070),0.902,1329204,1634475,gas_east
Goonyella Broadmeadow Mine,BM Alliance Coal Operations Pty Limited,QLD,Coal mining (060),0.902,890016,1358763,coal
Gorgon Operations,CHEVRON AUSTRALIA PTY LTD,WA,Oil and gas extraction (070),0.902,8543442,9021856,lng
